MATERIAL_NAME,WATER_PERMEATION,DOI,WATER_FLUX,WATER_FLUX/PORE_AREA,WATER_FLUX/PORE_AREA_CORRECTED,MEMBRANE_AREA,WATER_FLUX_LOG,SALT_REJECTION,PORE_AREA,PORE_AREA_CORRECTED,APPLIED_PRESSURE,SALT_CONCENTRATION,Membrane_Element_1,Membrane_Element_2,No_of_Membrane_Element_1,No_of_Membrane_Element_2,Pore_Element_1,Pore_Element_2,No_of_Pore_Atom_1,No_of_Pore_Atom_2,Water_Model
NANOPOROUS GRAPHENE,0.0067,DOI: 10.1021/nl3012853 ,0.653384,417.053617,0.093611582,9,-0.425590267,100,1.41,9.841425859,97.52,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,0.0067,DOI: 10.1021/nl3012853 ,0.791806,505.4080851,0.113443568,9,-0.233438867,100,1.41,9.841425859,118.18,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,0.0067,DOI: 10.1021/nl3012853 ,0.991131,632.6368085,0.142001244,9,-0.008908564,100,1.41,9.841425859,147.93,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,0.0067,DOI: 10.1021/nl3012853 ,1.187709,758.1121277,0.170165351,9,0.172026241,100,1.41,9.841425859,177.27,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,0.0067,DOI: 10.1021/nl3012853 ,1.483916,947.1804255,0.212603498,9,0.394684539,100,1.41,9.841425859,221.48,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,7.918,DOI: 10.1021/nl3012853 ,772.16336,30084.28675,390.7982709,9,6.649196134,100,23.1,45.64240669,97.52,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,7.918,DOI: 10.1021/nl3012853 ,935.74924,36457.7626,473.5904395,9,6.841347535,100,23.1,45.64240669,118.18,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,7.918,DOI: 10.1021/nl3012853 ,1171.30974,45635.44442,592.8095593,9,7.065877838,100,23.1,45.64240669,147.93,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,7.918,DOI: 10.1021/nl3012853 ,1403.62386,54686.6439,710.3856592,9,7.246812643,100,23.1,45.64240669,177.27,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,7.918,DOI: 10.1021/nl3012853 ,1753.67864,68325.14182,887.5512823,9,7.469470941,100,23.1,45.64240669,221.48,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,35.768,DOI: 10.1021/nl3012853 ,3488.09536,61845.66241,2150.235457,9,8.157111124,83.51,50.76,82.34248015,97.52,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,35.768,DOI: 10.1021/nl3012853 ,4227.06224,74947.91206,2605.771394,9,8.349262525,57.92,50.76,82.34248015,118.18,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,35.768,DOI: 10.1021/nl3012853 ,5291.16024,93814.89787,3261.734323,9,8.573792828,69.42,50.76,82.34248015,147.93,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,35.768,DOI: 10.1021/nl3012853 ,6340.59336,112421.8681,3908.657091,9,8.754727633,57.73,50.76,82.34248015,177.27,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,35.768,DOI: 10.1021/nl3012853 ,7921.89664,140459.1603,4883.451078,9,8.977385931,43.39,50.76,82.34248015,221.48,72,C,0,1,0,H,0,12,0,TIP4P
NANOPOROUS GRAPHENE,8.84,DOI: 10.1021/nl3012853 ,862.0768,47599.33252,347.4783525,9,6.759344362,100,16.3,40.43950289,97.52,72,C,0,1,0,O,H,6,12,TIP4P
NANOPOROUS GRAPHENE,8.84,DOI: 10.1021/nl3012853 ,1044.7112,57683.44049,421.093024,9,6.951495763,100,16.3,40.43950289,118.18,72,C,0,1,0,O,H,6,12,TIP4P
NANOPOROUS GRAPHENE,8.84,DOI: 10.1021/nl3012853 ,1307.7012,72204.36074,527.0967256,9,7.176026066,100,16.3,40.43950289,147.93,72,C,0,1,0,O,H,6,12,TIP4P
